Attr,TotalWorkingYears,Ovt,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,dfh,Age,MonthlyIncome,EnvironmentSatisfaction,NumCompaniesWorked
1,4,0,2,2,2,4,22,3894,4,5
0,13,0,7,7,7,6,31,5460,1,4
0,8,0,7,0,7,18,46,2838,3,1
0,7,0,7,7,7,7,26,5206,4,1
0,5,0,4,2,3,11,24,4011,1,1
0,19,0,18,7,13,7,32,6347,3,5
0,10,1,6,5,5,2,31,6582,2,4
0,19,0,10,7,8,8,49,4810,3,2
0,18,1,5,4,2,9,45,10761,4,4
0,10,0,10,7,8,2,34,5098,4,1
0,10,1,10,8,0,26,43,5126,1,1
0,1,0,1,0,0,5,32,2693,2,1
0,13,0,12,9,8,29,42,4900,4,4
0,5,0,5,3,4,1,45,2289,4,1
0,10,0,7,6,7,24,24,3423,3,6
0,17,0,6,5,2,1,47,3420,1,2
0,26,0,22,9,10,5,44,18213,2,1
0,13,0,0,0,0,4,34,2259,3,3
0,9,0,8,3,7,4,27,5661,2,0
0,3,1,1,1,0,9,40,3617,4,8
0,4,1,3,2,2,16,35,4788,4,0
0,6,0,6,2,4,2,33,5505,4,1
0,10,0,10,7,8,9,35,5098,2,3
0,11,1,0,0,0,8,34,8564,4,2
0,10,0,10,8,6,1,35,7295,3,4
0,1,1,1,1,0,1,35,2408,4,1
0,7,1,7,7,6,19,34,3691,3,1
0,6,0,6,2,1,1,47,2837,4,1
0,3,0,3,2,2,2,31,2886,2,2
0,8,0,7,7,5,7,38,4028,4,0
0,6,0,6,5,3,11,36,6499,2,1
0,11,0,5,3,2,21,42,5265,3,2
0,15,0,13,12,0,2,20,10306,3,9
1,16,0,6,2,5,12,30,5940,1,2
0,1,1,1,0,0,2,31,1129,4,1
0,25,1,3,2,2,28,50,16880,4,4
0,10,0,9,5,6,2,32,5470,4,0
0,6,0,2,2,2,2,42,6029,4,5
0,5,0,2,2,0,5,27,4364,3,1
0,4,1,3,2,2,7,31,4171,3,0
0,30,1,5,4,2,2,55,16659,3,1
0,18,0,1,0,0,25,43,10798,3,5
1,1,0,1,1,0,21,26,2377,1,1
0,5,0,5,2,4,1,21,2647,3,1
0,23,0,21,7,17,25,37,10231,3,7
0,17,1,15,7,12,2,38,5980,1,6
0,9,1,5,3,4,19,54,5485,4,1
0,10,1,10,2,8,2,35,2022,3,1
0,16,1,2,2,2,1,30,6134,4,5
1,7,0,4,3,3,9,43,5346,1,8
0,8,0,5,2,4,13,36,2143,3,4
0,9,0,6,4,5,4,42,5155,2,5
1,13,0,12,6,11,13,29,11994,1,2
1,11,0,11,7,8,7,34,4424,1,1
0,9,0,9,8,8,1,33,4037,1,4
0,21,0,7,6,7,23,38,17181,1,1
0,6,0,4,3,1,2,25,3424,1,7
0,6,1,4,3,2,1,34,2436,4,6
0,1,0,0,0,0,15,22,2871,4,1
0,8,1,1,0,0,16,35,6694,3,7
0,16,0,10,9,7,8,51,12490,2,2
1,1,0,1,0,0,24,29,1091,3,9
0,3,0,2,2,2,19,34,2661,2,0
1,6,1,6,3,2,7,24,2886,1,1
0,1,0,1,0,0,19,28,1563,4,1
0,19,0,10,8,1,25,38,12061,1,3
0,12,0,5,2,2,4,40,5562,3,0
0,10,0,10,3,7,18,25,9980,2,1
0,10,1,4,0,3,18,35,9884,1,0
0,2,0,2,2,1,1,25,2096,4,2
0,8,0,0,0,0,29,26,4306,1,8
0,15,0,15,10,13,1,28,3986,4,1
0,4,0,4,2,2,15,28,2207,1,1
0,9,1,8,7,7,1,26,7553,3,0
0,7,0,3,2,2,7,36,2438,4,4
0,15,0,11,8,10,19,34,4444,3,1
0,8,0,4,3,1,3,37,4107,4,0
0,6,1,3,2,2,1,33,2799,3,2
0,8,1,5,4,4,8,25,2436,1,5
0,1,1,1,1,0,5,30,1859,3,1
0,10,0,0,0,0,3,59,6132,3,1
0,14,0,1,0,0,3,30,6553,1,9
0,7,0,0,0,0,2,40,5121,2,3
0,11,0,8,2,7,13,33,4941,2,2
0,10,0,1,0,0,5,32,5094,3,6
0,7,0,1,0,0,9,39,6653,2,4
0,9,0,2,2,0,2,31,6410,1,0
0,9,1,1,0,0,7,45,4193,4,4
0,12,1,11,10,7,1,25,2308,4,0
1,3,0,3,2,2,9,23,4621,3,1
0,3,1,3,2,2,16,35,3294,3,9
0,8,0,2,2,2,2,26,6392,4,4
0,17,0,7,7,7,27,36,5237,3,0
0,2,0,2,2,2,5,33,2911,3,3
0,10,0,4,3,3,1,34,2996,4,5
0,6,1,5,3,3,10,37,2782,4,3
0,2,1,2,2,2,1,21,2070,4,2
0,10,1,10,7,4,5,45,5769,3,1
0,12,1,11,9,7,9,30,6347,3,0
0,10,1,3,2,2,1,29,6294,4,0
1,3,1,3,2,2,3,50,2683,1,1
0,14,0,5,4,4,28,45,8938,4,2
0,10,0,5,4,0,21,37,2973,3,5
0,5,0,5,2,4,2,45,2070,1,2
0,8,0,8,2,7,22,50,5063,4,0
0,8,1,5,2,4,21,34,2657,1,5
0,10,0,10,7,5,20,50,4385,4,1
0,6,0,6,4,3,4,33,8853,4,0
0,3,0,3,2,2,13,32,3591,4,1
0,27,0,15,11,8,4,48,10999,3,0
0,9,0,8,7,1,2,45,6632,2,8
0,10,0,10,8,6,18,36,7295,1,7
0,12,0,12,8,7,2,46,3748,4,1
0,21,0,7,6,7,10,41,17181,4,4
1,1,1,1,0,0,7,22,2472,4,1
0,17,0,4,2,3,1,46,9396,4,7
0,35,1,5,2,4,7,53,10934,1,7
0,2,0,2,2,2,1,33,2372,3,2
0,4,0,4,2,3,7,33,2610,3,1
1,1,0,1,0,0,12,21,2716,3,1
0,18,1,4,3,3,26,36,6796,2,8
1,13,0,7,7,2,19,34,2329,3,9
0,13,0,13,8,8,7,32,5484,4,1
0,14,1,6,4,4,1,59,11904,2,3
0,6,1,5,3,4,8,25,4907,1,0
0,10,0,9,7,7,8,55,7655,3,1
0,7,0,3,2,1,4,33,2622,3,6
1,22,0,22,10,4,3,22,16015,4,1
1,5,0,5,2,3,6,31,4325,1,1
1,13,0,9,7,7,2,33,2707,1,7
0,21,1,19,9,2,13,39,17123,3,6
0,6,0,5,4,3,20,30,2705,4,0
0,10,0,7,7,7,19,34,11159,2,2
0,10,1,5,4,2,2,38,7756,4,3
0,10,0,10,9,9,17,29,7988,2,0
0,3,0,2,1,1,2,22,2523,3,1
0,16,0,15,13,8,1,35,4312,3,0
0,12,1,9,7,7,1,51,8189,1,3
0,28,0,10,4,6,5,30,19144,1,3
0,5,0,4,3,2,20,23,2272,1,0
0,11,0,7,7,7,2,38,6893,2,3
1,33,1,33,7,12,3,24,19068,1,1
1,11,1,3,2,2,23,34,9950,2,0
0,4,0,2,2,2,1,22,4775,4,6
0,10,1,8,2,6,1,35,2559,3,1
0,6,1,1,1,0,2,53,3419,1,2
0,36,0,7,7,7,6,56,13212,3,5
0,8,0,8,7,6,14,33,2756,4,1
0,14,0,14,8,11,1,37,6474,4,1
0,9,1,5,3,0,2,23,9713,4,4
0,9,0,8,7,7,2,39,7880,1,4
0,9,0,5,2,4,24,44,3708,1,2
0,23,0,20,18,15,6,51,19537,1,2
0,5,0,5,3,4,7,37,4401,4,3
0,14,0,5,4,4,8,41,4393,3,6
0,10,0,10,7,9,23,30,2613,1,4
0,37,0,10,9,7,18,55,16835,1,3
0,9,1,8,7,7,8,30,11416,2,2
0,10,0,5,2,3,2,31,5332,4,4
0,6,0,5,3,2,1,29,5373,1,0
0,10,0,5,2,3,4,44,5933,4,0
0,5,0,4,2,3,25,33,4898,4,7
1,9,0,6,1,5,2,37,2468,4,1
0,20,0,4,3,3,7,41,4869,2,3
0,5,0,5,2,3,26,31,2911,1,4
0,9,0,9,8,0,20,31,6932,4,1
0,8,1,5,2,4,2,32,6583,4,2
0,6,1,5,4,3,21,42,2168,3,4
0,4,1,2,2,2,25,59,4014,1,3
1,18,0,4,2,3,2,28,10650,1,2
1,14,0,10,9,8,7,56,2339,4,8
0,9,0,7,7,7,1,40,12742,4,3
0,11,0,4,3,2,24,53,7005,2,0
1,1,1,1,0,0,11,20,2600,4,1
0,10,1,10,8,6,6,27,9852,3,1
0,21,0,6,0,3,9,39,19431,4,1
0,5,0,0,0,0,5,33,2976,2,3
0,17,1,1,0,0,9,31,6673,1,7
1,8,0,3,1,2,29,33,2345,4,4
0,10,0,10,9,8,12,36,2691,2,3
0,5,0,4,3,2,9,23,2500,2,1
1,10,1,4,2,3,7,40,2166,1,1
0,20,0,5,0,4,2,47,5070,1,5
0,8,0,8,7,7,10,34,6214,2,6
0,9,0,8,7,1,2,45,6632,2,8
0,16,0,9,7,1,19,37,10725,2,2
0,10,1,6,5,5,2,31,6582,2,4
0,19,0,1,0,0,1,60,10883,3,3
1,10,0,8,4,7,16,33,7264,3,5
0,10,0,9,2,8,2,27,5042,4,1
0,22,0,22,3,11,1,40,13503,3,1
0,10,0,10,3,7,18,25,9980,2,7
0,10,0,1,0,0,1,58,6132,1,2
0,10,0,9,7,7,2,30,4968,4,2
0,3,1,3,2,2,6,29,2275,4,9
0,4,0,2,2,2,10,23,2073,4,3
1,18,0,17,13,14,9,46,2743,3,1
0,13,0,8,7,2,3,36,2088,4,4
0,8,1,7,6,7,2,34,4537,3,0
0,2,0,2,2,2,19,22,2323,3,1
1,13,1,11,9,7,12,35,4581,4,3
0,10,1,10,8,7,2,25,3348,2,2
0,6,0,5,4,4,2,29,2703,3,2
0,1,0,1,0,1,15,21,2293,1,1
0,15,1,1,0,0,18,38,5811,2,3
0,20,0,1,0,0,1,38,2858,1,4
0,8,1,8,7,0,3,33,2909,4,2
0,33,1,33,9,10,28,50,14026,3,1
0,7,1,4,2,2,12,31,3929,3,8
0,25,0,17,14,11,25,47,8633,1,0
0,22,0,22,7,10,1,41,19189,4,1
0,6,0,6,5,1,4,36,2559,3,3
0,3,0,1,0,0,3,40,4877,4,7
0,4,0,3,2,2,9,29,4374,4,1
0,1,0,1,0,0,3,32,1359,3,1
1,9,0,3,1,2,13,31,4233,2,7
0,4,1,2,2,2,7,52,4736,2,5
0,5,0,5,3,4,16,40,4724,3,1
0,22,0,22,7,10,1,41,19189,4,1
0,10,0,1,0,0,16,40,5094,1,6
1,9,0,3,2,2,28,50,7119,3,0
0,14,0,10,8,6,8,33,3143,4,3
0,13,0,11,7,8,20,40,11031,4,4
0,9,0,4,3,3,9,54,2897,1,3
1,0,1,0,0,0,5,18,1878,1,8
0,4,1,3,2,2,2,22,4788,4,1
0,8,0,1,0,0,5,32,9679,4,8
0,6,0,4,3,2,2,46,5326,3,4
0,8,0,2,2,1,7,41,5003,4,6
0,8,0,4,3,3,4,37,2532,3,6
0,0,0,0,0,0,3,20,3033,2,1
1,7,1,5,4,3,2,33,4963,1,2
0,9,0,7,7,7,29,50,6261,1,1
0,8,0,5,2,4,13,36,2143,3,0
0,11,0,9,8,7,4,33,3055,4,5
1,5,1,5,3,3,25,35,4741,2,1
0,1,0,1,0,0,10,49,1483,1,1
0,12,0,9,8,7,2,45,8578,4,3
0,6,1,5,3,3,10,48,2782,3,0
1,22,0,22,10,4,3,22,16015,4,1
0,8,1,8,7,4,2,39,5828,2,4
0,6,0,6,5,3,19,28,3196,4,1
0,18,0,1,0,0,29,28,9824,2,0
0,24,0,24,9,11,7,45,5210,1,1
0,5,0,3,2,2,1,50,3690,3,2
0,9,0,5,1,2,2,45,6667,4,0
0,10,0,4,3,3,2,42,6272,4,7
0,12,0,7,1,5,29,34,5878,4,3
0,10,0,3,2,2,2,42,4789,4,4
0,7,0,7,7,7,1,26,4294,3,4
0,10,0,10,9,7,23,27,2929,4,1
0,10,0,6,3,3,10,42,2936,3,3
0,15,1,7,2,7,2,34,2741,1,8
0,8,0,4,3,1,29,31,4107,3,0
0,17,0,7,7,7,13,36,5237,1,6
0,1,0,1,1,0,16,22,2377,4,1
0,10,1,9,7,5,12,31,5855,4,0
0,10,0,4,2,3,1,34,3280,2,2
0,1,0,0,0,0,21,37,2871,1,1
0,4,0,2,2,2,20,55,3978,4,1
0,15,1,15,14,12,1,33,13458,1,1
1,19,1,2,2,2,12,21,4257,3,4
0,6,1,6,5,4,3,27,4647,4,4
0,5,1,0,0,0,9,30,4728,3,6
0,23,0,12,9,9,1,35,17465,3,1
0,14,0,14,10,11,15,43,17603,3,2
0,17,0,7,7,7,15,32,6883,4,1
0,24,0,22,6,14,2,42,18880,1,1
0,7,0,1,0,0,7,46,5258,3,2
1,5,0,3,2,2,15,31,2909,4,9
0,8,0,7,7,7,6,26,2544,3,0
0,5,0,0,0,0,2,40,4327,2,4
0,6,0,5,4,3,3,34,2426,1,1
0,28,0,2,0,2,12,50,11836,3,5
0,5,0,5,3,4,1,45,2289,4,1
0,23,0,19,9,11,3,29,19187,3,4
1,10,0,5,2,0,10,19,11244,4,1
0,10,0,10,7,4,19,29,8620,3,1
0,12,0,7,7,7,4,35,2718,4,3
1,1,0,1,0,0,9,31,1261,3,3
0,33,0,5,4,4,1,54,10502,4,1
0,8,0,8,7,6,14,33,2756,4,3
0,10,0,10,7,8,8,32,6209,3,1
0,13,0,7,7,2,7,31,2329,2,9
0,7,0,1,0,0,5,36,2835,1,5
0,5,0,4,2,2,1,25,4898,1,0
1,23,0,22,15,8,12,41,19545,2,1
1,6,1,5,3,4,13,29,4907,4,0
0,9,1,9,0,7,26,35,8837,3,0
0,20,1,18,13,17,1,35,4721,3,1
0,5,1,3,2,2,3,42,2373,2,1
0,10,0,9,7,8,3,39,9526,1,0
1,0,0,7.00574004,0,0,2,19,2564,2,0
1,23,0,19,7,8,7,24,8865,1,5
0,21,0,21,6,8,2,34,12742,3,1
0,23,0,20,4,8,9,44,13525,2,5
1,10,0,5,2,3,1,24,4771,4,2
0,4,0,2,2,2,8,50,3875,4,9
0,1,0,1,0,0,3,34,1555,4,1
0,5,0,4,2,0,5,26,2966,4,0
0,10,0,10,9,9,1,39,9547,1,1
0,5,1,4,2,2,1,28,2154,4,0
0,10,0,10,9,8,11,54,3407,4,1
0,28,0,5,2,2,14,33,19943,3,1
0,15,0,15,12,11,1,38,13582,4,1
0,10,0,1,0,0,3,38,9985,2,0
0,20,0,19,6,8,2,39,10938,3,0
0,7,0,3,2,2,3,47,3669,3,1
0,16,0,15,13,11,1,35,3210,1,1
0,10,0,10,9,7,19,34,2929,2,3
0,3,0,2,2,2,2,33,2661,1,1
0,6,0,5,3,4,3,46,6272,2,5
0,6,0,6,5,4,12,40,6274,2,1
0,32,0,2,2,2,2,50,17856,4,2
0,10,0,8,7,7,10,34,6929,2,4
0,6,0,2,2,2,6,36,8639,1,5
0,7,0,6,2,4,27,36,7756,3,0
0,21,0,21,6,8,2,34,12742,3,1
0,9,1,9,1,8,17,30,11916,2,1
0,10,0,10,7,8,18,35,9434,2,1
0,3,0,2,2,2,21,51,2899,3,9
0,12,0,8,3,7,15,38,8686,1,4
1,1,0,1,0,0,9,36,1951,1,1
0,8,0,8,7,7,7,32,2942,1,1
1,16,1,15,9,10,24,34,4599,1,0
1,10,0,5,3,3,9,36,3407,3,7
0,9,0,9,7,7,10,27,8793,4,1
0,5,0,5,2,2,11,35,4968,4,1
0,17,1,3,0,0,2,37,9602,4,4
0,14,0,14,10,7,1,32,10422,3,4
0,10,0,5,2,3,7,44,5332,4,7
0,5,0,4,2,0,2,27,2966,4,0
0,16,0,9,8,8,8,40,13757,4,2
0,2,0,2,2,2,10,36,2297,2,9
0,5,0,3,2,0,1,56,2066,1,2
0,6,0,5,3,4,18,35,5561,2,0
0,0,1,0,0,0,2,38,1569,4,8
0,33,0,32,14,9,7,30,19845,3,1
0,9,1,5,3,4,29,29,5485,3,9
0,18,0,5,4,3,9,56,2942,1,2
0,20,1,20,8,8,28,50,3221,4,1
0,21,0,20,8,9,4,25,19033,1,1
0,9,0,6,5,2,20,45,4087,4,4
0,6,0,2,2,0,2,46,4298,1,1
0,3,0,3,1,2,8,50,2157,3,1
0,10,0,9,7,0,26,25,5363,3,0
0,7,1,7,7,7,1,28,6834,3,1
0,7,0,7,6,0,15,22,2844,3,1
0,9,0,8,7,7,9,34,8621,4,1
0,6,1,6,2,4,10,27,5769,4,1
1,20,1,20,11,7,4,30,2133,4,3
0,2,1,2,2,2,1,35,2070,3,2
0,7,1,7,7,7,18,49,6804,4,1
0,9,0,4,2,3,29,30,9250,3,8
1,14,0,14,11,13,2,20,2044,2,1
1,4,0,2,2,0,3,24,4577,1,4
0,10,0,10,4,9,5,31,5487,4,1
0,15,1,5,4,1,3,36,9278,1,4
1,20,0,4,3,3,28,49,4284,1,3
1,16,0,9,8,0,1,29,3482,4,8
0,32,0,2,2,2,4,33,17856,3,2
0,21,0,20,7,10,28,41,13570,1,1
0,30,1,5,4,2,17,44,16659,2,1
0,1,0,1,0,0,1,26,2933,2,1
0,29,0,20,7,7,1,54,17328,1,1
0,10,0,5,4,1,7,31,11557,3,1
0,3,1,1,1,0,9,40,3617,4,8
1,20,0,20,7,13,3,18,5605,1,3
0,6,0,5,0,2,28,35,7104,2,0
0,6,0,5,0,4,11,27,2099,2,0
0,22,0,19,7,16,1,29,16823,4,2
0,3,0,1,0,0,2,40,2785,3,8
0,4,0,3,2,2,11,45,3983,2,0
0,9,0,8,7,7,1,56,4805,2,0
0,25,0,17,14,11,10,40,8633,4,0
1,10,0,9,4,7,24,29,9936,4,0
0,8,0,4,3,3,26,28,3408,2,7
0,0,1,0,0,0,2,38,1569,4,1
1,1,1,1,1,0,12,28,2515,3,1
0,6,0,6,0,2,1,47,9547,1,1
0,12,0,5,3,0,1,41,2782,4,3
0,6,0,5,2,3,2,31,3477,2,1
0,12,0,10,9,4,7,43,9419,1,2
1,7,0,5,2,4,2,38,4855,3,1
0,4,0,2,2,2,16,27,2811,3,1
0,10,0,6,2,2,2,35,4425,2,1
0,13,0,12,6,11,7,34,11994,1,0
0,33,1,19,16,9,23,56,13402,4,4
0,12,1,11,10,9,15,38,11510,3,0
1,9,1,8,7,7,14,29,7553,3,0
0,5,0,5,3,3,28,30,2517,3,4
1,10,1,10,9,8,9,30,7847,4,6
0,10,0,7,7,7,1,31,5055,2,2
0,5,0,3,2,2,3,34,2819,2,2
0,10,0,10,7,9,5,31,5343,4,1
1,18,0,4,2,3,8,51,10650,1,1
0,2,0,2,2,2,10,36,2297,2,1
0,4,0,4,3,3,1,31,4148,3,1
0,20,1,19,10,7,16,47,5067,3,1
0,14,0,9,7,7,2,48,4051,2,2
0,9,0,4,3,2,10,39,13464,3,7
1,4,1,0,0,0,9,24,3172,2,2
0,3,0,3,0,2,1,35,2450,4,1
0,29,0,22,10,9,10,48,19665,4,2
1,22,0,20,6,13,8,31,13237,2,1
0,10,0,8,0,7,1,35,2258,4,0
0,6,0,3,2,2,3,32,11159,3,3
0,5,0,4,3,2,19,52,4258,4,3
0,16,0,1,0,0,23,44,4272,3,1
0,18,0,8,7,7,16,48,6439,3,8
1,8,1,6,4,0,22,40,6380,3,2
0,3,0,2,2,2,8,33,2342,2,9
1,10,0,10,0,8,10,21,4558,2,1
0,26,1,26,14,0,21,58,16752,3,1
0,6,1,5,0,2,23,36,2932,4,4
0,4,0,4,2,2,3,59,2207,3,1
0,9,0,8,7,7,1,56,4805,2,4
0,21,0,21,6,6,28,45,16704,4,2
0,5,1,4,2,3,2,40,2342,4,2
1,34,0,33,7,9,2,53,10169,3,1
0,10,1,10,8,7,2,25,3348,2,1
1,6,0,5,3,2,24,44,2720,1,0
0,10,0,8,7,7,29,34,5429,2,4
0,8,0,6,3,0,11,36,6652,2,4
0,5,0,4,2,3,11,24,4011,1,1
0,8,0,8,7,7,8,27,6214,2,1
0,9,0,7,7,7,8,29,9715,3,3
0,33,1,33,9,10,28,50,14026,3,1
0,15,0,11,8,10,8,35,5677,4,6
0,1,0,1,0,0,3,30,2083,3,1
0,16,0,16,13,10,2,33,4809,1,2
0,5,0,4,2,0,5,26,2966,4,9
0,9,0,9,7,8,4,45,4447,3,1
1,1,1,0,0,0,6,23,1601,3,1
1,15,0,14,8,8,2,32,8858,3,1
0,37,1,36,10,13,1,42,19045,1,1
0,17,0,6,5,2,1,47,3420,1,7
0,3,0,2,2,2,1,44,2342,3,8
0,21,0,20,8,9,4,40,19033,4,1
1,5,0,4,2,0,24,56,2587,1,1
0,18,0,7,7,7,14,51,4936,3,7
0,10,0,7,7,7,7,31,5915,4,1
0,17,0,3,2,2,23,44,2042,2,1
0,7,0,4,2,3,1,40,2387,2,0
1,13,0,13,12,9,2,53,6306,4,1
0,2,0,2,2,2,10,23,3505,1,3
0,5,0,5,4,4,1,42,2632,1,2
0,15,0,14,11,9,8,35,4148,3,0
1,10,1,10,8,7,3,33,3348,1,2
0,7,0,5,4,1,6,37,6502,3,5
0,14,0,7,3,7,2,27,2768,2,2
0,33,1,33,7,12,2,52,19068,1,1
0,10,0,10,7,8,10,32,5396,4,1
0,13,0,12,9,8,1,57,4900,2,0
0,11,1,10,7,0,21,51,5441,3,0
0,32,1,9,8,5,1,58,19701,4,3
0,11,0,11,7,8,8,31,4424,3,1
0,1,0,1,0,0,19,32,2642,2,9
1,6,1,5,2,3,23,58,8224,3,7
0,31,0,9,7,2,2,55,16756,3,1
0,9,1,8,7,7,10,38,8740,3,0
0,10,0,10,7,7,2,59,5130,1,1
0,21,0,6,0,3,28,45,19431,4,1
0,18,0,18,7,17,7,30,3034,2,1
1,6,1,4,3,2,16,36,7457,2,2
1,29,1,8,1,7,7,21,19237,3,2
0,15,1,15,14,7,15,34,5207,4,1
0,20,1,19,10,7,9,45,5067,3,1
0,3,0,3,0,2,1,35,2450,4,0
0,1,1,1,1,1,5,47,2566,1,3
1,7,0,2,2,2,3,33,2267,1,0
0,15,0,15,10,12,11,35,5593,3,6
0,10,0,9,7,7,2,30,4968,4,0
1,6,0,5,4,4,29,31,3479,3,1
1,9,1,9,7,6,7,34,6074,1,1
0,6,0,5,2,4,4,24,3162,1,1
1,4,1,2,2,2,1,29,4787,1,2
1,2,0,2,2,2,9,34,2742,1,1
0,4,0,3,0,2,1,32,2314,4,0
0,23,1,22,7,10,10,35,19049,4,2
0,10,0,3,2,2,8,36,6931,1,2
0,5,0,5,3,2,25,33,4320,4,1
0,3,0,2,2,1,10,24,2145,1,0
0,28,1,22,11,10,4,47,10333,3,1
0,5,0,5,1,3,7,32,2794,2,1
0,4,0,2,2,2,4,31,3978,1,1
0,10,0,1,0,0,3,38,9985,2,0
0,13,0,8,7,7,7,46,10845,4,1
0,9,0,9,8,0,20,31,6932,4,1
0,10,0,10,7,9,5,31,5343,4,5
1,7,0,2,2,2,3,33,2267,1,8
1,1,1,1,0,1,10,20,1009,4,1
0,6,0,5,3,3,9,27,3955,3,1
1,31,1,10,9,9,19,42,10008,3,7
0,8,0,4,3,3,4,37,2532,3,1
0,35,1,10,9,4,17,54,19636,1,1
0,8,1,4,3,2,1,29,6062,3,9
0,12,1,9,7,7,9,41,8189,3,6
0,2,0,2,2,2,10,29,2297,4,9
0,12,0,11,8,8,2,31,8474,1,1
1,10,0,2,2,2,3,47,4877,4,8
0,5,0,5,2,3,1,38,2911,1,2
0,8,1,8,7,7,2,38,3564,1,1
0,1,1,1,0,0,16,22,2935,4,1
0,25,0,8,7,7,10,39,19740,3,2
0,9,0,8,7,7,2,27,6500,1,4
0,26,0,7,7,7,2,35,18606,3,1
0,3,1,0,0,0,8,53,2404,3,3
1,9,1,9,7,6,7,34,6074,1,1
1,17,1,5,3,3,5,25,5231,3,1
0,15,0,14,8,8,12,36,8858,4,0
0,8,0,5,3,2,20,31,2270,3,1
1,24,1,6,0,4,22,40,10552,3,2
0,10,0,10,4,9,16,35,7639,1,7
0,13,0,5,4,4,2,39,5204,4,8
0,11,0,11,8,10,26,22,3812,4,1
0,33,1,19,16,9,19,52,13402,3,4
0,10,1,3,2,2,1,29,6294,4,8
0,10,0,10,5,7,2,33,2011,1,1
0,5,0,5,3,2,25,33,4320,4,1
0,0,0,0,0,0,1,40,1706,3,2
0,9,0,8,7,7,26,51,7880,3,8
0,6,1,1,1,0,5,36,3419,2,9
0,8,0,3,2,2,18,35,4779,3,7
0,13,0,9,4,0,2,38,10686,3,6
0,8,1,5,2,4,21,34,2657,1,5
0,12,1,11,7,9,2,40,5220,3,4
0,10,0,10,8,8,3,38,6799,4,5
1,12,0,6,3,4,10,37,7379,3,1
0,36,0,7,3,7,8,56,19717,4,1
0,3,0,3,2,2,1,28,3591,3,1
0,13,0,7,7,2,7,31,2329,2,3
0,7,0,7,7,3,9,27,2279,4,3
0,4,1,3,2,2,7,31,4171,3,0
0,16,0,14,8,9,15,34,17007,2,2
0,10,0,10,8,7,13,37,4285,1,3
0,1,0,1,0,0,17,50,1281,2,1
0,21,1,5,0,2,8,55,14756,4,2
0,9,0,5,2,4,2,46,3708,2,1
0,11,0,11,8,10,26,22,3812,4,1
0,36,0,24,15,15,14,55,18722,3,8
0,4,1,2,2,2,1,25,4559,1,3
0,5,0,5,2,3,9,37,4189,2,1
1,31,1,10,9,9,19,42,10008,3,7
0,10,0,10,8,7,1,35,7441,4,0
0,14,0,13,8,12,10,36,11957,4,0
0,10,1,7,7,7,2,30,3339,3,3
0,9,0,5,1,2,15,32,6667,3,0
0,10,0,9,7,8,3,39,9526,1,1
0,18,1,1,0,0,7,42,2372,2,6
0,6,0,2,2,2,9,51,4031,2,5
0,9,0,2,0,2,8,55,8376,4,1
0,10,0,10,9,7,19,34,2929,2,1
0,6,1,4,3,2,1,34,2436,4,2
0,8,0,8,7,6,14,33,2756,4,3
0,10,1,9,5,8,3,33,4193,1,0
0,9,0,2,2,1,1,34,5484,2,9
1,1,1,1,0,0,8,22,2398,4,1
1,10,1,8,7,7,5,52,8446,2,9
0,1,0,1,0,0,2,27,2341,4,1
0,10,1,6,5,5,4,36,6582,2,5
1,25,1,7,1,7,10,29,13964,2,0
0,5,0,4,3,2,2,43,4258,2,0
0,7,0,7,7,3,4,52,2279,1,1
0,17,1,5,3,3,3,42,5231,3,2
0,25,0,8,7,7,3,43,19740,3,2
0,8,0,8,1,7,18,36,2153,2,1
1,9,0,1,0,0,15,36,4834,1,1
0,23,0,13,12,8,1,51,7484,1,3
0,11,0,3,2,2,2,54,2062,4,3
1,10,0,10,2,7,3,44,11935,2,2
0,14,1,0,0,0,26,42,6388,4,0
0,2,0,2,2,2,5,31,2044,3,9
0,10,1,7,7,7,13,46,2216,2,3
0,15,0,7,7,7,2,35,5762,2,2
0,10,1,9,6,8,1,34,2593,1,1
1,10,0,10,7,8,26,45,8789,1,1
0,9,0,5,2,4,11,52,3149,4,8
0,9,1,9,8,8,23,45,3633,4,1
0,18,0,5,4,3,10,32,2942,3,3
0,12,1,10,7,8,20,55,5415,2,3
0,5,0,5,2,2,2,27,2713,1,1
0,11,0,7,7,7,9,34,6893,3,3
0,1,1,1,0,1,4,47,2994,3,3
1,22,0,22,10,4,3,22,16015,2,1
0,6,0,5,2,2,5,31,8346,1,5
0,6,1,5,2,3,5,31,4821,3,3
0,21,1,21,8,6,25,19,19197,2,1
0,3,0,3,1,2,8,50,2157,3,1
0,10,0,10,8,2,8,36,4197,4,1
0,14,0,14,11,13,21,33,2028,2,1
0,5,0,4,2,2,7,33,4898,4,0
1,23,0,8,7,0,8,22,15379,4,1
0,10,0,10,8,8,4,40,3131,3,1
0,5,0,5,4,0,27,29,2029,3,4
0,30,0,3,2,2,9,38,18844,1,9
0,15,0,7,7,7,7,35,5762,4,2
0,4,0,2,2,2,18,35,4775,3,6
0,8,1,6,4,2,11,31,2356,4,3
0,26,0,11,4,8,9,21,18789,4,1
0,23,1,1,0,0,8,35,5381,1,1
0,10,1,6,5,5,4,36,6582,2,5
1,4,0,2,2,2,2,52,2811,3,9
0,4,0,3,2,2,1,22,3737,3,0
